iter	Passed	Remaining
0	1	162
1	3	155
2	4	145
3	5	133
4	7	136
5	8	134
6	9	128
7	10	124
8	11	120
9	13	122
10	15	125
11	16	124
12	18	122
13	19	121
14	21	123
15	23	121
16	24	117
17	25	116
18	27	117
19	28	114
20	29	112
21	31	110
22	32	108
23	33	106
24	35	105
25	36	103
26	37	100
27	38	98
28	40	99
29	42	98
30	43	96
31	44	94
32	45	92
33	47	91
34	48	89
35	49	88
36	51	88
37	53	87
38	55	86
39	56	84
40	57	83
41	58	81
42	59	79
43	61	77
44	62	75
45	63	74
46	65	73
47	66	71
48	67	70
49	68	68
50	69	66
51	71	65
52	72	64
53	73	62
54	74	60
55	75	59
56	77	58
57	78	57
58	79	55
59	80	53
60	82	52
61	83	51
62	85	50
63	86	48
64	87	47
65	88	45
66	89	44
67	91	43
68	92	41
69	93	40
70	95	38
71	97	37
72	98	36
73	99	34
74	100	33
75	102	32
76	103	30
77	104	29
78	106	28
79	107	26
80	108	25
81	110	24
82	111	22
83	112	21
84	113	20
85	115	18
86	116	17
87	117	15
88	118	14
89	119	13
90	120	11
91	121	10
92	122	9
93	124	7
94	125	6
95	126	5
96	127	3
97	128	2
98	129	1
99	130	0
