iter	Passed	Remaining
0	140	140836
1	142	71322
2	144	48134
3	147	36767
4	151	30154
5	157	26134
6	162	23023
7	165	20551
8	168	18580
9	172	17070
10	174	15702
11	175	14477
12	179	13633
13	181	12773
14	182	11979
15	184	11344
16	186	10755
17	187	10251
18	188	9750
19	190	9357
20	192	8992
21	194	8628
22	195	8298
23	196	8009
24	198	7754
25	199	7490
26	200	7240
27	201	7011
28	203	6798
29	204	6599
30	205	6416
31	206	6243
32	207	6077
33	208	5928
34	211	5820
35	212	5693
36	213	5564
37	215	5463
38	217	5355
39	218	5255
40	220	5150
41	222	5064
42	223	4982
43	224	4885
44	225	4790
45	227	4719
46	228	4641
47	230	4570
48	231	4492
49	232	4425
50	234	4363
51	236	4303
52	237	4236
53	238	4170
54	240	4124
55	241	4076
56	242	4019
57	243	3960
58	245	3923
59	247	3873
60	248	3829
61	249	3779
62	252	3748
63	253	3712
64	255	3671
65	256	3623
66	257	3589
67	260	3563
68	261	3523
69	262	3482
70	264	3454
71	265	3425
72	267	3394
73	268	3358
74	270	3335
75	272	3308
76	273	3276
77	274	3242
78	276	3220
79	278	3197
80	279	3167
81	280	3136
82	280	3100
83	282	3080
84	283	3053
85	284	3028
86	285	2999
87	286	2971
88	288	2952
89	290	2933
90	291	2910
91	292	2885
92	293	2862
93	295	2846
94	297	2830
95	298	2808
96	299	2784
97	301	2774
98	303	2764
99	305	2745
100	310	2762
101	311	2743
102	313	2730
103	315	2717
104	316	2700
105	317	2681
106	320	2676
107	322	2661
108	323	2643
109	324	2626
110	327	2621
111	328	2607
112	330	2593
113	333	2593
114	335	2581
115	336	2563
116	337	2544
117	339	2538
118	341	2524
119	342	2508
120	342	2491
121	344	2476
122	346	2468
123	347	2455
124	348	2440
125	349	2424
126	351	2414
127	352	2403
128	354	2391
129	355	2376
130	356	2365
131	358	2357
132	360	2347
133	361	2333
134	362	2319
135	364	2315
136	365	2305
137	367	2293
138	368	2279
139	370	2275
140	371	2265
141	372	2251
142	373	2238
143	375	2232
144	377	2223
145	378	2213
146	379	2201
147	380	2189
148	382	2184
149	384	2176
150	385	2167
151	386	2155
152	388	2150
153	389	2142
154	391	2135
155	392	2124
156	394	2119
157	396	2111
158	397	2101
159	398	2090
160	398	2077
161	400	2072
162	401	2064
163	403	2055
164	404	2045
165	405	2034
166	407	2030
167	408	2022
168	409	2014
169	410	2004
170	411	1994
171	412	1984
172	413	1974
173	414	1968
174	415	1959
175	416	1950
176	417	1941
177	418	1932
178	419	1925
179	421	1920
180	422	1912
181	423	1903
182	424	1895
183	425	1888
184	427	1883
185	428	1875
186	429	1867
187	430	1858
188	431	1850
189	433	1848
190	434	1841
191	435	1833
192	436	1826
193	437	1817
194	439	1814
195	440	1808
196	442	1801
197	442	1793
198	443	1786
199	447	1790
200	449	1784
201	449	1777
202	450	1769
203	453	1769
204	455	1767
205	456	1760
206	458	1756
207	459	1751
208	461	1745
209	462	1740
210	464	1736
211	466	1733
212	467	1728
213	468	1721
214	470	1717
215	471	1712
216	473	1707
217	474	1702
218	475	1696
219	477	1692
220	478	1687
221	479	1680
222	480	1675
223	483	1673
224	484	1668
225	485	1662
226	486	1655
227	486	1648
228	488	1644
229	490	1641
230	491	1635
231	492	1630
232	493	1624
233	496	1623
234	497	1620
235	498	1614
236	499	1609
237	502	1608
238	503	1604
239	505	1602
240	508	1600
241	509	1595
242	510	1589
243	513	1589
244	514	1586
245	515	1580
246	517	1576
247	520	1576
248	521	1573
249	523	1569
250	524	1566
251	526	1561
252	527	1557
253	529	1554
254	530	1550
255	532	1548
256	534	1544
